number,value,datetime_start,datetime_complete,duration,params_flag_0,params_flag_1,params_flag_10,params_flag_11,params_flag_12,params_flag_13,params_flag_14,params_flag_15,params_flag_16,params_flag_17,params_flag_18,params_flag_19,params_flag_2,params_flag_20,params_flag_21,params_flag_22,params_flag_23,params_flag_24,params_flag_25,params_flag_26,params_flag_27,params_flag_28,params_flag_29,params_flag_3,params_flag_4,params_flag_5,params_flag_6,params_flag_7,params_flag_8,params_flag_9,state
48,0.18504115730822407,2025-06-21 05:36:52.339446,2025-06-21 05:36:52.878577,0 days 00:00:00.539131,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,0,COMPLETE
49,0.17934187712092375,2025-06-21 05:36:52.879870,2025-06-21 05:36:53.367759,0 days 00:00:00.487889,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,COMPLETE
50,-0.01625266636353059,2025-06-21 05:36:53.369260,2025-06-21 05:36:53.856191,0 days 00:00:00.486931,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,COMPLETE
51,-0.012848258420358324,2025-06-21 05:36:53.857672,2025-06-21 05:36:54.399368,0 days 00:00:00.541696,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,COMPLETE
52,-0.056391513779965756,2025-06-21 05:36:54.400995,2025-06-21 05:36:54.863399,0 days 00:00:00.462404,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,COMPLETE
53,0.00868282601718951,2025-06-21 05:36:54.864677,2025-06-21 05:36:55.309491,0 days 00:00:00.444814,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,COMPLETE
54,0.18052517599060142,2025-06-21 05:36:55.310754,2025-06-21 05:36:55.862549,0 days 00:00:00.551795,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,1,1,0,COMPLETE
55,0.02549352255672391,2025-06-21 05:36:55.863833,2025-06-21 05:36:56.311101,0 days 00:00:00.447268,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1,0,0,COMPLETE
56,0.03176512836222377,2025-06-21 05:36:56.312593,2025-06-21 05:36:56.786453,0 days 00:00:00.473860,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,COMPLETE
57,-0.014046135437590274,2025-06-21 05:36:56.787764,2025-06-21 05:36:57.350542,0 days 00:00:00.562778,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,0,COMPLETE
58,0.01967300114376514,2025-06-21 05:36:57.351944,2025-06-21 05:36:57.834469,0 days 00:00:00.482525,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,1,1,0,COMPLETE
59,0.1800471647269331,2025-06-21 05:36:57.835967,2025-06-21 05:36:58.284462,0 days 00:00:00.448495,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,0,COMPLETE
60,0.014285565765341743,2025-06-21 05:36:58.285907,2025-06-21 05:36:58.971084,0 days 00:00:00.685177,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,COMPLETE
61,0.1800471647269331,2025-06-21 05:36:58.973062,2025-06-21 05:36:59.714462,0 days 00:00:00.741400,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,0,COMPLETE
62,-0.02604992529616284,2025-06-21 05:36:59.716507,2025-06-21 05:37:00.545378,0 days 00:00:00.828871,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,COMPLETE
63,0.17841173232891727,2025-06-21 05:37:00.547264,2025-06-21 05:37:01.361414,0 days 00:00:00.814150,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,0,COMPLETE
64,0.008038750158940674,2025-06-21 05:37:01.363330,2025-06-21 05:37:01.927326,0 days 00:00:00.563996,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,COMPLETE
